"filename", "language", "JavaScript", "JSON", "Groovy", "Properties", "XML", "Batch", "comment", "blank", "total"
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\src\forms\ConsultaClientes.js", "JavaScript", 219, 0, 0, 0, 0, 0, 0, 16, 235
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\src\forms\ConsultaExtraCobranza.js", "JavaScript", 218, 0, 0, 0, 0, 0, 0, 15, 233
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\src\forms\ConsultaPrestamos.js", "JavaScript", 167, 0, 0, 0, 0, 0, 0, 14, 181
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\src\forms\FormAvales.js", "JavaScript", 207, 0, 0, 0, 0, 0, 7, 16, 230
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\src\forms\FormCajas.js", "JavaScript", 234, 0, 0, 0, 0, 0, 0, 12, 246
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\src\forms\FormClientes.js", "JavaScript", 335, 0, 0, 0, 0, 0, 0, 15, 350
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\src\forms\FormCorte.js", "JavaScript", 255, 0, 0, 0, 0, 0, 0, 12, 267
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\src\forms\FormExtraCobranza.js", "JavaScript", 291, 0, 0, 0, 0, 0, 0, 7, 298
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\src\forms\FormPrestamos.js", "JavaScript", 1392, 0, 0, 0, 0, 0, 55, 40, 1487
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\src\forms\ListaCajas.js", "JavaScript", 116, 0, 0, 0, 0, 0, 0, 7, 123
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\src\forms\Login.js", "JavaScript", 176, 0, 0, 0, 0, 0, 0, 9, 185
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\src\forms\MainScreen.js", "JavaScript", 167, 0, 0, 0, 0, 0, 7, 11, 185
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\src\forms\Mapa.js", "JavaScript", 145, 0, 0, 0, 0, 0, 1, 13, 159
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\src\forms\Preview.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 8, 78
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\src\services\API.js", "JavaScript", 4, 0, 0, 0, 0, 0, 2, 4, 10
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\src\services\ServiceAbonos.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 5, 37
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\src\services\ServiceAuth.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 4, 19
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\src\services\ServiceClientes.js", "JavaScript", 137, 0, 0, 0, 0, 0, 0, 12, 149
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\src\services\ServiceOtros.js", "JavaScript", 112, 0, 0, 0, 0, 0, 0, 13, 125
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\src\services\ServicePrestamos.js", "JavaScript", 160, 0, 0, 0, 0, 0, 0, 16, 176
"Total", "-", 6523, 14710, 134, 18, 147, 41, 237, 399, 22209
